species	protein	family	evidence	orthogroup
Agriopis_aurantiaria	Agriopis_aurantiaria_12637	CCE	Pfam:PF00135:30-575:cov=0.708	OG0007344
Agriopis_aurantiaria	Agriopis_aurantiaria_12814	UGT	Pfam:PF00201:29-487:cov=0.891	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_12847	ABC_NBD	Pfam:PF00005:1-138:cov=0.738	OG0004708
Agriopis_aurantiaria	Agriopis_aurantiaria_12885	UGT	Pfam:PF00201:90-240:cov=0.602	OG0000608
Agriopis_aurantiaria	Agriopis_aurantiaria_12932	bHLH	Pfam:PF00010:17-68:cov=0.356	OG0002702
Agriopis_aurantiaria	Agriopis_aurantiaria_12941	UGT	Pfam:PF00201:43-505:cov=0.877	OG0005647
Agriopis_aurantiaria	Agriopis_aurantiaria_13167	Peroxiredoxin	Pfam:PF00578:7-137:cov=0.672	OG0002487
Agriopis_aurantiaria	Agriopis_aurantiaria_1321	CYP	Pfam:PF00067:28-415:cov=0.822	OG0000013
Agriopis_aurantiaria	Agriopis_aurantiaria_13211	CCE	Pfam:PF00135:20-529:cov=0.916	OG0001608
Agriopis_aurantiaria	Agriopis_aurantiaria_13273	Thioredoxin	Pfam:PF00085:75-171:cov=0.473	OG0008607
Agriopis_aurantiaria	Agriopis_aurantiaria_13312	SULT	Pfam:PF00685:61-317:cov=0.788	OG0005480
Agriopis_aurantiaria	Agriopis_aurantiaria_13321	SULT	Pfam:PF00685:43-310:cov=0.820	OG0008776
Agriopis_aurantiaria	Agriopis_aurantiaria_13380	GST_C	Pfam:PF00043:18-75:cov=0.586	OG0006975
Agriopis_aurantiaria	Agriopis_aurantiaria_13503	CCE	Pfam:PF00135:48-565:cov=0.904	OG0000181
Agriopis_aurantiaria	Agriopis_aurantiaria_13513	CCE	Pfam:PF00135:66-584:cov=0.877	OG0000181
Agriopis_aurantiaria	Agriopis_aurantiaria_13517	CCE	Pfam:PF00135:30-545:cov=0.923	OG0000181
Agriopis_aurantiaria	Agriopis_aurantiaria_13561	Thioredoxin	Pfam:PF00085:36-133:cov=0.685	OG0003512
Agriopis_aurantiaria	Agriopis_aurantiaria_13602	SOD_CuZn	Pfam:PF00080:8-121:cov=0.905	OG0002102
Agriopis_aurantiaria	Agriopis_aurantiaria_13656	SOD_CuZn	Pfam:PF00080:13-149:cov=0.890	OG0002102
Agriopis_aurantiaria	Agriopis_aurantiaria_13660	CYP	Pfam:PF00067:33-514:cov=0.909	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_13663	CYP	Pfam:PF00067:33-513:cov=0.908	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_13666	CYP	Pfam:PF00067:37-484:cov=0.907	OG0000507
Agriopis_aurantiaria	Agriopis_aurantiaria_13669	CYP	Pfam:PF00067:32-500:cov=0.921	OG0010689
Agriopis_aurantiaria	Agriopis_aurantiaria_13671	CYP	Pfam:PF00067:33-511:cov=0.904	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_13672	CYP	Pfam:PF00067:210-388:cov=0.443;Pfam:PF00067:39-194:cov=0.386	OG0000507
Agriopis_aurantiaria	Agriopis_aurantiaria_13682	CCE	Pfam:PF00135:1-53:cov=0.791	OG0016466
Agriopis_aurantiaria	Agriopis_aurantiaria_13685	CCE	Pfam:PF00135:22-527:cov=0.939	OG0002437
Agriopis_aurantiaria	Agriopis_aurantiaria_13692	CCE	Pfam:PF00135:22-407:cov=0.900	OG0002437
Agriopis_aurantiaria	Agriopis_aurantiaria_13743	EH	Pfam:PF00561:69-341:cov=0.696	OG0001526
Agriopis_aurantiaria	Agriopis_aurantiaria_13762	EH	Pfam:PF00561:138-439:cov=0.659	OG0001526
Agriopis_aurantiaria	Agriopis_aurantiaria_1377	CYP	Pfam:PF00067:235-458:cov=0.474	OG0000045
Agriopis_aurantiaria	Agriopis_aurantiaria_13771	EH	Pfam:PF00561:62-363:cov=0.694	OG0021451
Agriopis_aurantiaria	Agriopis_aurantiaria_13813	Keap1_BTB	Pfam:PF00651:133-234:cov=0.363	OG0007551
Agriopis_aurantiaria	Agriopis_aurantiaria_13826	CCE	Pfam:PF00135:18-493:cov=0.853	OG0004715
Agriopis_aurantiaria	Agriopis_aurantiaria_13831	CCE	Pfam:PF00135:18-496:cov=0.851	OG0004715
Agriopis_aurantiaria	Agriopis_aurantiaria_13838	CCE	Pfam:PF00135:23-501:cov=0.934	OG0007552
Agriopis_aurantiaria	Agriopis_aurantiaria_13895	CCE	Pfam:PF00135:12-446:cov=0.950	OG0007552
Agriopis_aurantiaria	Agriopis_aurantiaria_1397	CYP	Pfam:PF00067:34-487:cov=0.887	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_13974	CCE	Pfam:PF00135:113-635:cov=0.756	OG0006796
Agriopis_aurantiaria	Agriopis_aurantiaria_13983	UGT	Pfam:PF00201:31-413:cov=0.905	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_1406	CYP	Pfam:PF00067:74-481:cov=0.806	OG0000045
Agriopis_aurantiaria	Agriopis_aurantiaria_1413	CCE	Pfam:PF00135:33-549:cov=0.470;Pfam:PF00135:564-1083:cov=0.473	OG0000308
Agriopis_aurantiaria	Agriopis_aurantiaria_14175	CCE	Pfam:PF00135:116-424:cov=0.714	OG0000760
Agriopis_aurantiaria	Agriopis_aurantiaria_14185	CCE	Pfam:PF00135:40-551:cov=0.868	OG0000760
Agriopis_aurantiaria	Agriopis_aurantiaria_14191	CCE	Pfam:PF00135:30-562:cov=0.917	OG0000760
Agriopis_aurantiaria	Agriopis_aurantiaria_14197	CCE	Pfam:PF00135:31-560:cov=0.822	OG0000760
Agriopis_aurantiaria	Agriopis_aurantiaria_14200	CCE	Pfam:PF00135:11-455:cov=0.939	OG0010322
Agriopis_aurantiaria	Agriopis_aurantiaria_14203	CCE	Pfam:PF00135:32-545:cov=0.877	OG0000760
Agriopis_aurantiaria	Agriopis_aurantiaria_14205	CCE	Pfam:PF00135:18-486:cov=0.936	OG0009996
Agriopis_aurantiaria	Agriopis_aurantiaria_1421	CYP	Pfam:PF00067:238-458:cov=0.467	OG0000045
Agriopis_aurantiaria	Agriopis_aurantiaria_14213	CCE	Pfam:PF00135:284-763:cov=0.589	OG0009733
Agriopis_aurantiaria	Agriopis_aurantiaria_14359	CYP	Pfam:PF00067:35-512:cov=0.904	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_14363	CYP	Pfam:PF00067:34-508:cov=0.901	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_14403	CCE	Pfam:PF00135:20-524:cov=0.933	OG0000051
Agriopis_aurantiaria	Agriopis_aurantiaria_14411	CCE	Pfam:PF00135:22-502:cov=0.887	OG0009830
Agriopis_aurantiaria	Agriopis_aurantiaria_14431	Keap1_BTB	Pfam:PF00651:98-200:cov=0.392	OG0005606
Agriopis_aurantiaria	Agriopis_aurantiaria_14446	Keap1_BTB	Pfam:PF00651:55-157:cov=0.470	OG0005606
Agriopis_aurantiaria	Agriopis_aurantiaria_14458	CYP	Pfam:PF00067:66-505:cov=0.856	OG0002349
Agriopis_aurantiaria	Agriopis_aurantiaria_14487	CYP	Pfam:PF00067:35-483:cov=0.889	OG0000145
Agriopis_aurantiaria	Agriopis_aurantiaria_14488	CYP	Pfam:PF00067:35-496:cov=0.915	OG0000145
Agriopis_aurantiaria	Agriopis_aurantiaria_14511	CYP	Pfam:PF00067:34-494:cov=0.915	OG0000145
Agriopis_aurantiaria	Agriopis_aurantiaria_1460	CYP	Pfam:PF00067:13-417:cov=0.882	OG0000045
Agriopis_aurantiaria	Agriopis_aurantiaria_14622	UGT	Pfam:PF00201:5-135:cov=0.856	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_14636	UGT	Pfam:PF00201:25-296:cov=0.880	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_14852	CYP	Pfam:PF00067:35-471:cov=0.879	OG0005497
Agriopis_aurantiaria	Agriopis_aurantiaria_14865	CYP	Pfam:PF00067:9-437:cov=0.937	OG0009504
Agriopis_aurantiaria	Agriopis_aurantiaria_14866	CYP	Pfam:PF00067:53-513:cov=0.857	OG0008790
Agriopis_aurantiaria	Agriopis_aurantiaria_14870	CYP	Pfam:PF00067:28-530:cov=0.935	OG0003887
Agriopis_aurantiaria	Agriopis_aurantiaria_14909	EH	Pfam:PF00561:89-384:cov=0.705	OG0002643
Agriopis_aurantiaria	Agriopis_aurantiaria_15037	CYP	Pfam:PF00067:3-392:cov=0.985	OG0000040
Agriopis_aurantiaria	Agriopis_aurantiaria_15046	CYP	Pfam:PF00067:2-419:cov=0.935	OG0000040
Agriopis_aurantiaria	Agriopis_aurantiaria_15049	CYP	Pfam:PF00067:24-402:cov=0.933	OG0000040
Agriopis_aurantiaria	Agriopis_aurantiaria_15052	CYP	Pfam:PF00067:32-492:cov=0.918	OG0000040
Agriopis_aurantiaria	Agriopis_aurantiaria_15205	CYP	Pfam:PF00067:41-527:cov=0.910	OG0008961
Agriopis_aurantiaria	Agriopis_aurantiaria_15211	Thioredoxin	Pfam:PF00085:86-166:cov=0.352	OG0006630
Agriopis_aurantiaria	Agriopis_aurantiaria_15261	UGT	Pfam:PF00201:22-487:cov=0.908	OG0009915
Agriopis_aurantiaria	Agriopis_aurantiaria_15440	CYP	Pfam:PF00067:30-450:cov=0.927	OG0002354
Agriopis_aurantiaria	Agriopis_aurantiaria_15459	SOD_CuZn	Pfam:PF00080:92-225:cov=0.480	OG0004438
Agriopis_aurantiaria	Agriopis_aurantiaria_15474	EH	Pfam:PF00561:4-223:cov=0.426;Pfam:PF00561:262-503:cov=0.468	OG0000744
Agriopis_aurantiaria	Agriopis_aurantiaria_15489	EH	Pfam:PF00561:47-156:cov=0.364	OG0000744
Agriopis_aurantiaria	Agriopis_aurantiaria_15513	UGT	Pfam:PF00201:31-372:cov=0.893	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_15531	CCE	Pfam:PF00135:20-538:cov=0.824	OG0002708
Agriopis_aurantiaria	Agriopis_aurantiaria_15552	CCE	Pfam:PF00135:53-585:cov=0.787	OG0002708
Agriopis_aurantiaria	Agriopis_aurantiaria_1563	Nuclear_receptor_LBD	Pfam:PF00104:254-414:cov=0.362	OG0001532
Agriopis_aurantiaria	Agriopis_aurantiaria_15648	Thioredoxin	Pfam:PF00085:3-100:cov=0.405;Pfam:PF00085:122-222:cov=0.417	OG0003643
Agriopis_aurantiaria	Agriopis_aurantiaria_15649	EH	Pfam:PF00561:29-138:cov=0.426	OG0002219
Agriopis_aurantiaria	Agriopis_aurantiaria_15655	EH	Pfam:PF00561:141-241:cov=0.391;Pfam:PF00561:29-138:cov=0.426	OG0002219
Agriopis_aurantiaria	Agriopis_aurantiaria_15759	CYP	Pfam:PF00067:34-510:cov=0.897	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_15770	CYP	Pfam:PF00067:34-520:cov=0.917	OG0000044
Agriopis_aurantiaria	Agriopis_aurantiaria_15838	EH	Pfam:PF00561:65-318:cov=0.756	OG0004150
Agriopis_aurantiaria	Agriopis_aurantiaria_16	CYP	Pfam:PF00067:12-341:cov=0.917	OG0012629
Agriopis_aurantiaria	Agriopis_aurantiaria_16029	Peroxiredoxin	Pfam:PF00578:5-141:cov=0.614	OG0009102
Agriopis_aurantiaria	Agriopis_aurantiaria_16378	Keap1_BTB	Pfam:PF00651:22-127:cov=0.675	OG0004385
Agriopis_aurantiaria	Agriopis_aurantiaria_16537	EH	Pfam:PF00561:27-282:cov=0.783	OG0000097
Agriopis_aurantiaria	Agriopis_aurantiaria_16545	EH	Pfam:PF00561:28-145:cov=0.391	OG0000097
Agriopis_aurantiaria	Agriopis_aurantiaria_16548	EH	Pfam:PF00561:31-157:cov=0.415	OG0000097
Agriopis_aurantiaria	Agriopis_aurantiaria_16840	SULT	Pfam:PF00685:14-255:cov=0.890	OG0006272
Agriopis_aurantiaria	Agriopis_aurantiaria_17065	FMO	Pfam:PF00743:3-221:cov=0.507;Pfam:PF00743:226-383:cov=0.366	OG0002649
Agriopis_aurantiaria	Agriopis_aurantiaria_1709	UGT	Pfam:PF00201:34-491:cov=0.876	OG0010107
Agriopis_aurantiaria	Agriopis_aurantiaria_17177	CCE	Pfam:PF00135:265-587:cov=0.431	OG0007205
Agriopis_aurantiaria	Agriopis_aurantiaria_1815	Nuclear_receptor_LBD	Pfam:PF00104:127-291:cov=0.494	OG0002235
Agriopis_aurantiaria	Agriopis_aurantiaria_1861	Nuclear_receptor_DBD	Pfam:PF00105:24-96:cov=0.709	OG0002235
Agriopis_aurantiaria	Agriopis_aurantiaria_196	CYP	Pfam:PF00067:43-518:cov=0.850	OG0002363
Agriopis_aurantiaria	Agriopis_aurantiaria_2023	UGT	Pfam:PF00201:23-516:cov=0.945	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_2040	UGT	Pfam:PF00201:32-505:cov=0.912	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_2070	UGT	Pfam:PF00201:33-507:cov=0.917	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_2089	UGT	Pfam:PF00201:32-506:cov=0.913	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_2132	Keap1_BTB	Pfam:PF00651:22-116:cov=0.363	OG0000949
Agriopis_aurantiaria	Agriopis_aurantiaria_2144	UGT	Pfam:PF00201:26-511:cov=0.949	OG0009553
Agriopis_aurantiaria	Agriopis_aurantiaria_2220	SULT	Pfam:PF00685:47-183:cov=0.649	OG0000084
Agriopis_aurantiaria	Agriopis_aurantiaria_2227	Keap1_BTB	Pfam:PF00651:27-69:cov=0.483	OG0002298
Agriopis_aurantiaria	Agriopis_aurantiaria_2243	SULT	Pfam:PF00685:61-334:cov=0.801	OG0000084
Agriopis_aurantiaria	Agriopis_aurantiaria_2265	SULT	Pfam:PF00685:9-128:cov=0.876	OG0000084
Agriopis_aurantiaria	Agriopis_aurantiaria_2273	EH	Pfam:PF00561:90-392:cov=0.732	OG0000119
Agriopis_aurantiaria	Agriopis_aurantiaria_2287	SULT	Pfam:PF00685:61-334:cov=0.799	OG0000084
Agriopis_aurantiaria	Agriopis_aurantiaria_2338	SULT	Pfam:PF00685:62-334:cov=0.796	OG0000084
Agriopis_aurantiaria	Agriopis_aurantiaria_2341	CYP	Pfam:PF00067:34-478:cov=0.881	OG0016398
Agriopis_aurantiaria	Agriopis_aurantiaria_2396	CYP	Pfam:PF00067:34-494:cov=0.904	OG0000145
Agriopis_aurantiaria	Agriopis_aurantiaria_2413	SULT	Pfam:PF00685:52-211:cov=0.658	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_245	CYP	Pfam:PF00067:52-546:cov=0.889	OG0006834
Agriopis_aurantiaria	Agriopis_aurantiaria_2630	EH	Pfam:PF00561:125-427:cov=0.672	OG0011617
Agriopis_aurantiaria	Agriopis_aurantiaria_2648	CCE	Pfam:PF00135:175-699:cov=0.599	OG0003452
Agriopis_aurantiaria	Agriopis_aurantiaria_2649	CCE	Pfam:PF00135:175-699:cov=0.607	OG0003452
Agriopis_aurantiaria	Agriopis_aurantiaria_2754	CCE	Pfam:PF00135:1-429:cov=0.975	OG0005926
Agriopis_aurantiaria	Agriopis_aurantiaria_2799	CYP	Pfam:PF00067:42-500:cov=0.890	OG0002891
Agriopis_aurantiaria	Agriopis_aurantiaria_2809	CCE	Pfam:PF00135:92-181:cov=0.474	OG0005926
Agriopis_aurantiaria	Agriopis_aurantiaria_2924	CCE	Pfam:PF00135:3-525:cov=0.976	OG0000244
Agriopis_aurantiaria	Agriopis_aurantiaria_2946	CCE	Pfam:PF00135:45-275:cov=0.808	OG0000244
Agriopis_aurantiaria	Agriopis_aurantiaria_2971	CCE	Pfam:PF00135:3-523:cov=0.976	OG0000244
Agriopis_aurantiaria	Agriopis_aurantiaria_2980	CCE	Pfam:PF00135:21-531:cov=0.914	OG0018289
Agriopis_aurantiaria	Agriopis_aurantiaria_2987	CCE	Pfam:PF00135:3-522:cov=0.968	OG0000129
Agriopis_aurantiaria	Agriopis_aurantiaria_3020	CYP	Pfam:PF00067:34-478:cov=0.908	OG0000013
Agriopis_aurantiaria	Agriopis_aurantiaria_3044	CYP	Pfam:PF00067:65-447:cov=0.825	OG0000013
Agriopis_aurantiaria	Agriopis_aurantiaria_3051	CCE	Pfam:PF00135:33-502:cov=0.913	OG0002437
Agriopis_aurantiaria	Agriopis_aurantiaria_3101	CYP	Pfam:PF00067:196-327:cov=0.371	OG0000013
Agriopis_aurantiaria	Agriopis_aurantiaria_3160	SULT	Pfam:PF00685:5-151:cov=0.817	OG0012645
Agriopis_aurantiaria	Agriopis_aurantiaria_3255	CCE	Pfam:PF00135:3-505:cov=0.954	OG0004782
Agriopis_aurantiaria	Agriopis_aurantiaria_3264	CCE	Pfam:PF00135:3-515:cov=0.966	OG0005388
Agriopis_aurantiaria	Agriopis_aurantiaria_3270	CYP	Pfam:PF00067:33-489:cov=0.891	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_3283	Thioredoxin	Pfam:PF00085:10-109:cov=0.820	OG0006866
Agriopis_aurantiaria	Agriopis_aurantiaria_3314	PAS	Pfam:PF00989:90-149:cov=0.375	OG0004197
Agriopis_aurantiaria	Agriopis_aurantiaria_3360	CCE	Pfam:PF00135:2-122:cov=0.871	OG0010926
Agriopis_aurantiaria	Agriopis_aurantiaria_3532	CYP	Pfam:PF00067:172-617:cov=0.707	OG0005390
Agriopis_aurantiaria	Agriopis_aurantiaria_3644	bHLH	Pfam:PF00010:35-76:cov=0.500	OG0012650
Agriopis_aurantiaria	Agriopis_aurantiaria_3663	Thioredoxin	Pfam:PF00085:7-104:cov=0.445	OG0009431
Agriopis_aurantiaria	Agriopis_aurantiaria_3727	CYP	Pfam:PF00067:13-433:cov=0.950	OG0000013
Agriopis_aurantiaria	Agriopis_aurantiaria_3729	Keap1_BTB	Pfam:PF00651:22-115:cov=0.734	OG0002298
Agriopis_aurantiaria	Agriopis_aurantiaria_3803	SULT	Pfam:PF00685:58-326:cov=0.813	OG0006690
Agriopis_aurantiaria	Agriopis_aurantiaria_3936	Catalase	Pfam:PF00199:70-423:cov=0.681	OG0005564
Agriopis_aurantiaria	Agriopis_aurantiaria_3958	Catalase	Pfam:PF00199:24-377:cov=0.747	OG0005564
Agriopis_aurantiaria	Agriopis_aurantiaria_3974	Catalase	Pfam:PF00199:47-422:cov=0.372;Pfam:PF00199:541-897:cov=0.353	OG0005564
Agriopis_aurantiaria	Agriopis_aurantiaria_3989	CCE	Pfam:PF00135:148-635:cov=0.657	OG0003568
Agriopis_aurantiaria	Agriopis_aurantiaria_4050	EH	Pfam:PF00561:30-265:cov=0.779	OG0004932
Agriopis_aurantiaria	Agriopis_aurantiaria_4071	Nuclear_receptor_LBD	Pfam:PF00104:7-143:cov=0.513	OG0002519
Agriopis_aurantiaria	Agriopis_aurantiaria_4106	CYP	Pfam:PF00067:36-494:cov=0.895	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_4118	CCE	Pfam:PF00135:34-525:cov=0.901	OG0000051
Agriopis_aurantiaria	Agriopis_aurantiaria_4182	UGT	Pfam:PF00201:91-521:cov=0.823	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_4186	UGT	Pfam:PF00201:32-511:cov=0.920	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_4199	UGT	Pfam:PF00201:32-464:cov=0.884	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_4201	Keap1_BTB	Pfam:PF00651:3-95:cov=0.354	OG0002520
Agriopis_aurantiaria	Agriopis_aurantiaria_4221	UGT	Pfam:PF00201:32-501:cov=0.906	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_4257	UGT	Pfam:PF00201:23-499:cov=0.914	OG0000017
Agriopis_aurantiaria	Agriopis_aurantiaria_4273	CYP	Pfam:PF00067:44-460:cov=0.853	OG0002065
Agriopis_aurantiaria	Agriopis_aurantiaria_4285	CCE	Pfam:PF00135:21-141:cov=0.840	OG0010614
Agriopis_aurantiaria	Agriopis_aurantiaria_4288	CCE	Pfam:PF00135:56-596:cov=0.466	OG0004627
Agriopis_aurantiaria	Agriopis_aurantiaria_4293	CYP	Pfam:PF00067:50-490:cov=0.884	OG0000676
Agriopis_aurantiaria	Agriopis_aurantiaria_4295	CCE	Pfam:PF00135:62-538:cov=0.558	OG0008698
Agriopis_aurantiaria	Agriopis_aurantiaria_4298	CCE	Pfam:PF00135:23-268:cov=0.908	OG0003355
Agriopis_aurantiaria	Agriopis_aurantiaria_4308	CCE	Pfam:PF00135:66-188:cov=0.594	OG0010614
Agriopis_aurantiaria	Agriopis_aurantiaria_4309	CCE	Pfam:PF00135:96-697:cov=0.598	OG0005242
Agriopis_aurantiaria	Agriopis_aurantiaria_4312	CYP	Pfam:PF00067:45-480:cov=0.892	OG0002065
Agriopis_aurantiaria	Agriopis_aurantiaria_4315	CYP	Pfam:PF00067:3-321:cov=0.904	OG0000676
Agriopis_aurantiaria	Agriopis_aurantiaria_4319	CCE	Pfam:PF00135:37-151:cov=0.752	OG0010614
Agriopis_aurantiaria	Agriopis_aurantiaria_4385	Nuclear_receptor_LBD	Pfam:PF00104:145-330:cov=0.467	OG0001039
Agriopis_aurantiaria	Agriopis_aurantiaria_4391	ABC_TMD	Pfam:PF00664:126-401:cov=0.395	OG0005243
Agriopis_aurantiaria	Agriopis_aurantiaria_4645	CYP	Pfam:PF00067:34-472:cov=0.878	OG0002244
Agriopis_aurantiaria	Agriopis_aurantiaria_4659	CYP	Pfam:PF00067:3-410:cov=0.988	OG0002244
Agriopis_aurantiaria	Agriopis_aurantiaria_4689	Keap1_BTB	Pfam:PF00651:30-126:cov=0.369	OG0003072
Agriopis_aurantiaria	Agriopis_aurantiaria_4759	bHLH	Pfam:PF00010:28-69:cov=0.424	OG0012957
